"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DELTACORP","EQ","19-Aug-2019","        157.45","        158.80","        158.90","        153.25","        154.40","        154.20","        155.61","     334336","            52024903.55","       4112","     115132","         34.44"
"DELTACORP","EQ","20-Aug-2019","        154.20","        154.65","        155.90","        149.00","        149.50","        150.10","        151.15","     381003","            57589634.50","       4928","     149924","         39.35"
"DELTACORP","EQ","21-Aug-2019","        150.10","        150.50","        151.50","        145.05","        147.75","        146.75","        147.68","     402422","            59427874.85","      10483","     145624","         36.19"
"DELTACORP","EQ","22-Aug-2019","        146.75","        146.25","        147.65","        142.00","        146.20","        145.95","        145.19","     430988","            62575926.05","      12835","     164318","         38.13"
"DELTACORP","EQ","23-Aug-2019","        145.95","        145.15","        149.80","        143.00","        148.50","        148.00","        147.21","     330235","            48614393.00","       5026","      94007","         28.47"
"DELTACORP","EQ","26-Aug-2019","        148.00","        152.00","        163.00","        152.00","        160.90","        160.65","        159.12","    1540740","           245166534.65","      18545","     346597","         22.50"
"DELTACORP","EQ","27-Aug-2019","        160.65","        161.25","        165.00","        161.00","        163.70","        163.35","        163.38","     557802","            91131377.05","       7100","     150283","         26.94"
"DELTACORP","EQ","28-Aug-2019","        163.35","        165.10","        173.40","        164.10","        169.50","        168.40","        169.86","    1987210","           337557199.80","      20782","     303473","         15.27"
"DELTACORP","EQ","29-Aug-2019","        168.40","        169.50","        169.85","        162.50","        163.50","        163.85","        165.95","     475330","            78881630.35","       5870","     133512","         28.09"
"DELTACORP","EQ","30-Aug-2019","        163.85","        164.05","        178.60","        164.05","        177.15","        176.50","        172.20","    1821183","           313610418.55","      22821","     676012","         37.12"
"DELTACORP","EQ","03-Sep-2019","        176.50","        172.50","        178.70","        167.10","        168.45","        168.15","        172.88","     797193","           137820942.30","      10235","     249120","         31.25"
"DELTACORP","EQ","04-Sep-2019","        168.15","        169.80","        175.00","        165.25","        174.90","        172.90","        169.73","     626173","           106282772.85","       8888","     130522","         20.84"
"DELTACORP","EQ","05-Sep-2019","        172.90","        175.50","        176.45","        170.60","        170.80","        171.70","        173.85","     471272","            81931267.55","       5872","     138182","         29.32"
"DELTACORP","EQ","06-Sep-2019","        171.70","        171.90","        177.35","        171.90","        175.20","        176.30","        175.26","     519804","            91102355.90","      10639","     161754","         31.12"
"DELTACORP","EQ","09-Sep-2019","        176.30","        175.15","        178.50","        172.05","        176.60","        176.50","        176.06","     402640","            70889855.10","       8811","      86386","         21.45"
