"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANAPPURAM","EQ","15-Jul-2020","        157.00","        158.25","        160.00","        153.70","        155.45","        154.30","        157.28","    4494878","           706961518.20","      22035","     892125","         19.85"
"MANAPPURAM","EQ","16-Jul-2020","        154.30","        154.25","        161.45","        151.95","        161.40","        160.80","        157.55","    6990381","          1101368819.80","      32680","    1464342","         20.95"
"MANAPPURAM","EQ","17-Jul-2020","        160.80","        161.75","        163.90","        159.10","        160.80","        160.55","        161.08","   11353890","          1828934538.70","      43776","    4006297","         35.29"
"MANAPPURAM","EQ","20-Jul-2020","        160.55","        160.55","        166.55","        160.00","        166.35","        165.30","        163.38","    7566836","          1236299605.95","      47113","    1916555","         25.33"
"MANAPPURAM","EQ","21-Jul-2020","        165.30","        166.50","        169.00","        164.85","        166.60","        166.15","        166.99","    7248534","          1210454269.65","      33598","    1518534","         20.95"
"MANAPPURAM","EQ","22-Jul-2020","        166.15","        166.95","        178.50","        165.20","        173.40","        173.55","        172.94","   20744266","          3587494406.60","     111189","    2181002","         10.51"
"MANAPPURAM","EQ","23-Jul-2020","        173.55","        173.50","        181.75","        173.25","        180.50","        180.50","        177.73","   14697879","          2612267457.05","      71329","    2611896","         17.77"
"MANAPPURAM","EQ","24-Jul-2020","        180.50","        180.40","        183.70","        177.80","        179.80","        179.75","        180.56","   13603657","          2456275338.05","      77777","    2034787","         14.96"
"MANAPPURAM","EQ","27-Jul-2020","        179.75","        180.40","        184.75","        175.25","        182.45","        182.55","        180.53","   11585268","          2091447557.70","      59541","    1375645","         11.87"
"MANAPPURAM","EQ","28-Jul-2020","        182.55","        183.95","        187.25","        178.20","        182.30","        182.45","        183.61","   12596011","          2312757492.80","      74032","    1832467","         14.55"
"MANAPPURAM","EQ","29-Jul-2020","        182.45","        183.90","        186.15","        178.60","        179.05","        181.95","        183.33","   13524111","          2479414422.35","      82510","    2396904","         17.72"
"MANAPPURAM","EQ","30-Jul-2020","        181.95","        179.95","        180.70","        162.95","        164.50","        164.20","        168.98","   30612099","          5172699180.90","     170090","    7870350","         25.71"
"MANAPPURAM","EQ","31-Jul-2020","        164.20","        165.00","        166.70","        156.55","        159.25","        158.50","        161.18","   19262627","          3104819525.25","     110266","    4369131","         22.68"
